Ebeam,nu,x,Q2,XSborn_unpol,XSborn_unpol_err,XSborn_para,XSborn_para_err,XSborn_perp,XSborn_perp_err,Asymmborn_para,Asymmborn_para_err,Asymmborn_perp,Asymmborn_perp_err,XSrad_unpol,XSrad_unpol_err,XSrad_para,XSrad_para_err,XSrad_perp,XSrad_perp_err,Asymmrad_para,Asymmrad_para_err,Asymmrad_perp,Asymmrad_perp_err,Asymmdiff_para,Asymmdiff_para_err,Asymmdiff_perp,Asymmdiff_perp_err
10380.0,1873.0,0.923441271033119,3244739.91921008,7.77431,0,-0.0829067,0,0.0325937,0,-0.005332093780669924,0.0,0.002096243911035192,0.0,5.32167,0.0245264,-0.0543305,0.000285762,0.0205293,0.000120644,-0.005104647601222924,3.569797297900121e-05,0.0019288400069902868,1.4405237517701242e-05,0.0,3.569797297900121e-05,0.00016740390404490512,1.4405237517701242e-05
10380.0,1874.0,0.9228400133838328,3244358.499212524,7.83326,0,-0.0839607,0,0.0331766,0,-0.005359243788665255,0.0,0.0021176751441928394,0.0,5.36406,0.024692,-0.0550872,0.000288735,0.0209339,0.000122427,-0.005134841892148858,3.581977443114033e-05,0.0019513111337307932,1.4522780378544455e-05,0.0,3.581977443114033e-05,0.00016636401046204617,1.4522780378544455e-05
10380.0,1875.0,0.9222393970760392,3243977.079214968,7.89261,0,-0.0850172,0,0.0337622,0,-0.0053858736210201695,0.0,0.0021388488725529323,0.0,5.40666,0.0248595,-0.0558441,0.000291731,0.0213397,0.000124225,-0.005164380597263376,3.594034055624191e-05,0.001973464208957101,1.4639420393739629e-05,0.0,3.594034055624191e-05,0.00016538466359583125,1.4639420393739629e-05
10380.0,1876.0,0.9216394210841387,3243595.6592174117,7.95227,0,-0.0860783,0,0.0343512,0,-0.005412184193947137,0.0,0.0021598361222644603,0.0,5.44941,0.0250286,-0.0566041,0.000294742,0.0217482,0.00012603,-0.0051935989400687405,3.606033837035778e-05,0.0019954637291009483,1.4755145774840058e-05,0.0,3.606033837035778e-05,0.00016437239316351203,1.4755145774840058e-05
10380.0,1877.0,0.9210400843847175,3243214.2392198555,8.0121,0,-0.0871415,0,0.0349417,0,-0.005438118595624118,0.0,0.0021805581557893684,0.0,5.49238,0.0251972,-0.0573664,0.000297751,0.0221586,0.000127831,-0.00522236261875544,3.617641767649302e-05,0.0020172129386531886,1.4868242831111253e-05,0.0,3.617641767649302e-05,0.00016334521713617977,1.4868242831111253e-05
10380.0,1878.0,0.9204413859565419,3242832.8192222994,8.07248,0,-0.0882143,0,0.0355389,0,-0.005463890898459952,0.0,0.0022012380334172394,0.0,5.53558,0.025369,-0.0581333,0.00030081,0.0225722,0.000129667,-0.0052508770535336854,3.6295022162886046e-05,0.00203882881287959,1.498265149200064e-05,0.0,3.6295022162886046e-05,0.00016240922053764942,1.498265149200064e-05
10380.0,1879.0,0.9198433247805515,3242451.3992247432,8.13297,0,-0.0892885,0,0.0361366,0,-0.005489292349535287,0.0,0.0022216115392040053,0.0,5.57904,0.0255393,-0.0589037,0.000303848,0.0229882,0.000131484,-0.0052790175370673095,3.6407807824391695e-05,0.0020602289999713213,1.5093158976868561e-05,0.0,3.6407807824391695e-05,0.00016138253923268396,1.5093158976868561e-05
10380.0,1880.0,0.9192458998398548,3242069.979227187,8.19386,0,-0.0903682,0,0.0367377,0,-0.005514385161572201,0.0,0.0022417822613517925,0.0,5.6228,0.0257106,-0.0596768,0.000306914,0.023406,0.000133317,-0.005306679945934411,3.651910384097875e-05,0.0020813473714163763,1.5202528817176034e-05,0.0,3.651910384097875e-05,0.00016043488993541626,1.5202528817176034e-05
10380.0,1881.0,0.9186491101197224,3241688.559229631,8.25504,0,-0.0914473,0,0.0373379,0,-0.00553887685583595,0.0,0.002261521446292205,0.0,5.66665,0.0258839,-0.0604529,0.000309944,0.0238258,0.000135121,-0.005334095100279707,3.6627371437525845e-05,0.0021022826537725114,1.5308747214889416e-05,0.0,3.6627371437525845e-05,0.00015923879251969345,1.5308747214889416e-05
10380.0,1882.0,0.9180529546075815,3241307.139232075,8.31637,0,-0.0925252,0,0.0379367,0,-0.005562835708367955,0.0,0.002280844887853715,0.0,5.71077,0.026056,-0.0612297,0.000312955,0.0242458,0.000136909,-0.005360897041905031,3.672952989394184e-05,0.002122813561043432,1.541091256910234e-05,0.0,3.672952989394184e-05,0.00015803132681028315,1.541091256910234e-05
