Ebeam,nu,x,Q2,XSborn_unpol,XSborn_unpol_err,XSborn_para,XSborn_para_err,XSborn_perp,XSborn_perp_err,Asymmborn_para,Asymmborn_para_err,Asymmborn_perp,Asymmborn_perp_err,XSrad_unpol,XSrad_unpol_err,XSrad_para,XSrad_para_err,XSrad_perp,XSrad_perp_err,Asymmrad_para,Asymmrad_para_err,Asymmrad_perp,Asymmrad_perp_err,Asymmdiff_para,Asymmdiff_para_err,Asymmdiff_perp,Asymmdiff_perp_err
10380.0,5886.0,1.1319575642414559,12499229.370582892,0.00146925,0,0.000734026,0,-0.000118002,0,0.24979615450059553,0.0,-0.04015722307299643,0.0,3.84618e-05,1.43079e-05,2.00674e-05,7.13959e-06,-3.22604e-06,1.14776e-06,0.2608744260539029,0.13428469301440693,-0.04193823482000322,0.021587619552402338,0.0,0.13428469301440693,0.0017810117470067957,0.021587619552402338
10380.0,5887.0,1.1315134441755557,12496448.055636168,0.00147844,0,0.000739529,0,-0.000119024,0,0.25010450204269363,0.0,-0.04025323990151782,0.0,3.87032e-05,1.43974e-05,2.02182e-05,7.19311e-06,-3.25404e-06,1.1577e-06,0.2611954567064222,0.13444729659873514,-0.04203838442299345,0.02163873971864813,0.0,0.13444729659873514,0.001785144521475629,0.02163873971864813
10380.0,5888.0,1.1310694749656562,12493666.740689442,0.00148763,0,0.00074503,0,-0.000120044,0,0.25040836767206903,0.0,-0.040347398210576556,0.0,3.89446e-05,1.44869e-05,2.0369e-05,7.24661e-06,-3.28199e-06,1.16762e-06,0.261512507510669,0.13460770334670494,-0.04213665052407779,0.021688874987608298,0.0,0.13460770334670494,0.001789252313501237,0.021688874987608298
10380.0,5889.0,1.1306256565349075,12490885.425742717,0.00149692,0,0.000750653,0,-0.000121097,0,0.25073250407503406,0.0,-0.04044872137455575,0.0,3.91886e-05,1.45773e-05,2.05232e-05,7.3013e-06,-3.31084e-06,1.17786e-06,0.2618516609422128,0.1347790206139344,-0.04224238681657421,0.021742805764880985,0.0,0.1347790206139344,0.0017936654420184633,0.021742805764880985
10380.0,5890.0,1.1301819888065123,12488104.110795991,0.00150623,0,0.000756297,0,-0.000122155,0,0.25105627958545507,0.0,-0.04054991601548237,0.0,3.94331e-05,1.4668e-05,2.06779e-05,7.35619e-06,-3.33983e-06,1.18815e-06,0.2621896325675638,0.13495050705234188,-0.04234805277799615,0.021796795231242224,0.0,0.13495050705234188,0.00179813676251378,0.021796795231242224
10380.0,5891.0,1.129738471703725,12485322.795849266,0.00151559,0,0.000761993,0,-0.000123224,0,0.2513849391985959,0.0,-0.04065215526626594,0.0,3.9679e-05,1.47591e-05,2.0834e-05,7.41159e-06,-3.36913e-06,1.19855e-06,0.2625318178381512,0.13512371637547307,-0.04245482497038736,0.021851262194941753,0.0,0.13512371637547307,0.0018026697041214207,0.021851262194941753
10380.0,5892.0,1.1292951051498528,12482541.480902541,0.00152499,0,0.000767724,0,-0.0001243,0,0.2517144374717211,0.0,-0.0407543656023974,0.0,3.99259e-05,1.48506e-05,2.09911e-05,7.46733e-06,-3.39861e-06,1.20901e-06,0.2628757272847951,0.13529784164584757,-0.042561470123403604,0.02190565506672179,0.0,0.13529784164584757,0.0018071045210062073,0.02190565506672179
10380.0,5893.0,1.1288518890682537,12479760.165955815,0.00153443,0,0.000773482,0,-0.000125381,0,0.2520421263922108,0.0,-0.040855887854121725,0.0,4.01739e-05,1.49426e-05,2.1149e-05,7.52333e-06,-3.42824e-06,1.21953e-06,0.26321815905351487,0.13547145635282531,-0.04266750303057458,0.021959864494203056,0.0,0.13547145635282531,0.0018116151764528549,0.021959864494203056
10380.0,5894.0,1.1284088233823393,12476978.851009091,0.00154394,0,0.000779297,0,-0.000126474,0,0.25237282536886146,0.0,-0.0409581978574297,0.0,4.04237e-05,1.50352e-05,2.13084e-05,7.57989e-06,-3.45819e-06,1.23016e-06,0.2635632067326841,0.1356463449831471,-0.042774288350645784,0.022014378786337656,0.0,0.1356463449831471,0.0018160904932160854,0.022014378786337656
10380.0,5895.0,1.1279659080155715,12474197.536062365,0.00155346,0,0.000785119,0,-0.000127567,0,0.25270010170844437,0.0,-0.04105899089773796,0.0,4.06738e-05,1.51279e-05,2.1468e-05,7.63651e-06,-3.48815e-06,1.24079e-06,0.26390452822209876,0.13581919621187552,-0.042879568665824194,0.022068083747876,0.0,0.13581919621187552,0.0018205777680862373,0.022068083747876
10380.0,5896.0,1.1275231428914656,12471416.221115641,0.00156312,0,0.000791022,0,-0.000128676,0,0.253026639029633,0.0,-0.041159987716873944,0.0,4.09275e-05,1.52219e-05,2.16298e-05,7.69392e-06,-3.51854e-06,1.25157e-06,0.2642453118318979,0.1359916822889343,-0.04298503451224727,0.022121834339879205,0.0,0.1359916822889343,0.0018250467953733265,0.022121834339879205
10380.0,5897.0,1.127080527933588,12468634.906168915,0.00157279,0,0.000796925,0,-0.000129784,0,0.25334755434609835,0.0,-0.04125916365185435,0.0,4.11816e-05,1.53161e-05,2.17917e-05,7.75133e-06,-3.54891e-06,1.26235e-06,0.26458054082405735,0.1361612805564637,-0.04308853954193135,0.022174679436629437,0.0,0.1361612805564637,0.0018293758900769994,0.022174679436629437
10380.0,5898.0,1.126638063065557,12465853.59122219,0.00158261,0,0.000802922,0,-0.000130911,0,0.25367020301906346,0.0,-0.04135921041823317,0.0,4.14396e-05,1.54117e-05,2.19561e-05,7.80966e-06,-3.57979e-06,1.27331e-06,0.26491689108968236,0.1363315116382088,-0.04319286383073195,0.02222790050352541,0.0,0.1363315116382088,0.0018336534124987827,0.02222790050352541
10380.0,5899.0,1.1261957482110432,12463072.276275465,0.00159246,0,0.000808939,0,-0.000132041,0,0.25399036710498224,0.0,-0.04145818419300956,0.0,4.16983e-05,1.55076e-05,2.21211e-05,7.86818e-06,-3.61076e-06,1.2843e-06,0.26525182081763526,0.13650103131523858,-0.04329624948738917,0.022280656126462677,0.0,0.13650103131523858,0.0018380652943796108,0.022280656126462677
