Ebeam,nu,x,Q2,XSborn_unpol,XSborn_unpol_err,XSborn_para,XSborn_para_err,XSborn_perp,XSborn_perp_err,Asymmborn_para,Asymmborn_para_err,Asymmborn_perp,Asymmborn_perp_err,XSrad_unpol,XSrad_unpol_err,XSrad_para,XSrad_para_err,XSrad_perp,XSrad_perp_err,Asymmrad_para,Asymmrad_para_err,Asymmrad_perp,Asymmrad_perp_err,Asymmdiff_para,Asymmdiff_para_err,Asymmdiff_perp,Asymmdiff_perp_err
10380.0,659.0,2.999135956012723,3707783.7962432336,0.0135392,0,0.00702729,0,-0.0178069,0,0.2595164411486646,0.0,-0.6576053238005201,0.0,0.000352653,0.000131865,0.000191758,6.83553e-05,-0.000485908,0.00017321,0.27187915599753865,0.14045568242111703,-0.6889321797914664,0.35590982098801827,0.0,0.14045568242111703,0.03132685599094631,0.35590982098801827
10380.0,660.0,2.994283756740387,3707402.3762456775,0.0136226,0,0.00702533,0,-0.0177851,0,0.2578556956821752,0.0,-0.6527792051443925,0.0,0.000354829,0.000132678,0.000191706,6.83362e-05,-0.000485318,0.000172998,0.2701385737918829,0.1395555693852318,-0.6838758951494945,0.35329513641716576,0.0,0.1395555693852318,0.031096690005102068,0.35329513641716576
10380.0,661.0,2.9894462388576795,3707020.9562481213,0.0137052,0,0.00702364,0,-0.0177635,0,0.2562399673116773,0.0,-0.6480569418906692,0.0,0.000356984,0.000133482,0.000191662,6.83198e-05,-0.000484733,0.000172788,0.268446204871927,0.1386796080587468,-0.6789281872576922,0.35073521835581417,0.0,0.1386796080587468,0.030871245367023015,0.35073521835581417
10380.0,662.0,2.9846233358326235,3706639.536250565,0.01379,0,0.00702151,0,-0.0177421,0,0.2545870195794054,0.0,-0.6432958665699783,0.0,0.000359197,0.000134308,0.000191606,6.8299e-05,-0.000484154,0.000172579,0.2667143656545016,0.137783339635741,-0.6739393703176808,0.34815347798362545,0.0,0.137783339635741,0.030643503747702527,0.34815347798362545
10380.0,663.0,2.9798149815346417,3706258.116253009,0.0138749,0,0.00701977,0,-0.017721,0,0.25296650786672337,0.0,-0.6385991971113305,0.0,0.000361412,0.000135135,0.000191561,6.82821e-05,-0.000483584,0.000172374,0.26501748696778193,0.13690527522185983,-0.6690203977731786,0.34560899746838003,0.0,0.13690527522185983,0.030421200661848058,0.34560899746838003
10380.0,664.0,2.9750211102315336,3705876.696255453,0.0139598,0,0.00701784,0,-0.0176996,0,0.2513589019899999,0.0,-0.633948910442843,0.0,0.000363627,0.000135962,0.00019151,6.82633e-05,-0.000483005,0.000172166,0.26333303082554377,0.13603388073520395,-0.6641489768361536,0.3430893438534126,0.0,0.13603388073520395,0.03020006639331063,0.3430893438534126
10380.0,665.0,2.9702416565864795,3705495.276257897,0.0140436,0,0.00701733,0,-0.0176796,0,0.24984085277279328,0.0,-0.6294539861573956,0.0,0.000365814,0.000136778,0.000191498,6.82583e-05,-0.000482464,0.000171971,0.2617423061993253,0.13521055860559786,-0.6594389498488302,0.34065191819166446,0.0,0.13521055860559786,0.029984963691434663,0.34065191819166446
10380.0,666.0,2.9654765556550746,3705113.8562603407,0.0141316,0,0.0070148,0,-0.0176583,0,0.24819553341447537,0.0,-0.6247806334739165,0.0,0.00036811,0.000137635,0.000191431,6.82337e-05,-0.000481887,0.000171764,0.2600187443970552,0.13431877545742174,-0.6545421205617886,0.3381191745562909,0.0,0.13431877545742174,0.029761487087872074,0.3381191745562909
10380.0,667.0,2.9607257428823845,3704732.4362627845,0.0142183,0,0.00701323,0,-0.017638,0,0.24662688225737253,0.0,-0.6202569927487815,0.0,0.000370373,0.000138479,0.00019139,6.82184e-05,-0.000481338,0.000171567,0.25837466553987465,0.13346777477969385,-0.6498016864080265,0.33566646556595664,0.0,0.13346777477969385,0.029544693659244947,0.33566646556595664
10380.0,668.0,2.9559891541000316,3704351.0162652284,0.0143051,0,0.00701155,0,-0.0176173,0,0.2450716877197643,0.0,-0.615769900245367,0.0,0.000372638,0.000139325,0.000191346,6.8202e-05,-0.000480778,0.000171365,0.2567451521315593,0.13262492858370614,-0.6451006070234383,0.3332347427010221,0.0,0.13262492858370614,0.029330706778071258,0.3332347427010221
